,Drug_Name,Reason,Description
19426,Folliderm Tablet 10'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19427,NEW Follihair Tablet 10'S,Supplement, antioxidant and memory enhancement property
19428,Follihair A Tablet 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19429,Folmet NM Tablet 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19430,Folnew Soft Capsule 10'S,Supplement,powerful antioxidant that strengthens and protects living tissue
19431,FOLRICH Tablet 10's,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19432,Folsafe Capsule 10'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19433,Folsafe D Capsule 10'S,Supplement,improves immunity
19434,Folsafe L Tablet 15's,Supplement,improves immunity
19435,Folspan Capsule 10'S,Supplement,improves stability
19436,Foltec Plus Tablet 10'S,Supplement,improves resistance
19437,FOLTREND Tablet 10's,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19438,Folvite Active Capsule 15'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19439,Folvite DHA Capsule 10'S,Supplement, antioxidant and memory enhancement property
19440,Folvite MB Capsule 15'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19441,FOLY 5mg Tablet 10's,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19442,FOLYBLEND Tablet 10'sFolyblend Tablet 15'S,Supplement,powerful antioxidant that strengthens and protects living tissue
19443,Folygel Dha Softgel 10'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19444,Folygel MB Capsule 10'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19445,Fopymin Tablet 10'S,Supplement,improves immunity
19446,Fopymin Act Tablet 10'S,Supplement,improves immunity
19447,Forjoint Capsule 100'S,Supplement,improves stability
19448,Formitol Tablet 10'S,Supplement,improves resistance
19449,Forpride Tablet 10'S,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19450,Forpride D Capsule 10'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19451,Fortinerv Tablet 10'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19452,Fortiron Tablet 10'S,Supplement, antioxidant and memory enhancement property
19453,Fostitol Syrup 200mlFostitol Syrup 100ml,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19454,Foton D3 60000IU Tablet 4'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19455,FOTOSIS 60K Chewable Tablet 10'sFotosis 60K 60000IU Tablet 4'S,Supplement,powerful antioxidant that strengthens and protects living tissue
19456,Fourts B Mega Drops 15mlFourts BZ Plus Tablet 10'SFourts B Mega Capsule 10'SFourts B Tablet 15'SFourts B Syrup 200mlFourts B Drops 15ml,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19457,Fourts Active Capsule 10'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19458,Fracis Capsule 10'S,Supplement,improves immunity
19459,Fraclife Tablet 10'S,Supplement,improves immunity
19460,Fracura Capsule 10'S,Supplement,improves stability
19461,Freecad Softgel 15'S,Supplement,improves resistance
19462,Freecad Max Capsule 15'S,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19463,Freeflex Tablet 15'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19464,Freeflex Forte Tablet 15'S,Supplement, antioxidant and memory enhancement property
19465,Freeflex Soflet 15'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19466,Fresubin Mango Powder 200gm,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19467,Fresubin Chocolate Powder 200gm,Supplement,powerful antioxidant that strengthens and protects living tissue
19468,Fresubin-DM Cardamom Powder 400gm,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19469,Fresubin DM Vanilla Powder 200gmFresubin DM Vanilla Powder 400gm,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19470,Fresubin HP Vanilla Powder 400gm,Supplement,improves immunity
19471,Fresubin Vanilla Powder 400gm,Supplement,improves immunity
19472,Frida Suspension 150ml,Supplement,improves stability
19473,Fructodex IN Salaine Infusion 500ml,Supplement,improves resistance
19474,Fructodex IN Water Infusion 500ml,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19475,Frutus Fiber Tablet 10's,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19476,FUL Aid Drops 10mlFUL Aid Syrup 200ml,Supplement, antioxidant and memory enhancement property
19477,Full 365mg Capsule 15'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19478,Full 24 Injection 1mlFull 24 Tablet 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19479,Full 365 Suspension 200mlFull 365 Capsule 15'S,Supplement,powerful antioxidant that strengthens and protects living tissue
19480,Full 365 Drops 15ml,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19481,Full 365 Woman Capsule 15'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19482,Full365 Syrup 100ml,Supplement,improves immunity
19483,Fullmet Capsule 10's,Supplement,improves immunity
19484,FUR Suspension 200ml,Supplement,improves stability
19485,FUR Total Tablet 10'S,Supplement,improves resistance
19486,Fylla Tablet 10'S,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19487,G 75 Powder 81.5gmG 75 Powder 75gm,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19488,G Mune Granules 15gm,Supplement, antioxidant and memory enhancement property
19489,Gabamax Gold Capsule 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19490,Gabamet Tablet 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19491,Gaben 75/750mcg Capsule 10'S,Supplement,powerful antioxidant that strengthens and protects living tissue
19492,Gablincad M Plus 75/750mcg Tablet 10'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19493,Gacal Plus Tablet 10'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19494,Gafercal Tablet 10'S,Supplement,improves immunity
19495,Gala DN Capsule 10'S,Supplement,improves immunity
19496,Galakol Tablet 40'SGalakol Granules 10X15gm,Supplement,improves stability
19497,Galcium Tablet 15'S,Supplement,improves resistance
19498,Galrol 60000IU Capsule 4'SGalrol 400IU Drops 30ml,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19499,Gammaven 5gm Infusion 100ml,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19500,Garbolim CA Tablet 10'S,Supplement, antioxidant and memory enhancement property
19501,GARBOLIM FORTE Tablet 10's,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19502,Gardian Capsule 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19503,Garlic Pearls Capsule 100'S,Supplement,powerful antioxidant that strengthens and protects living tissue
19504,Gastrobact BC Capsule 4'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19505,GB 120mg Tablet 10'SGB 40mg Tablet 10'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19506,GB 12 Tablet 10'S,Supplement,improves immunity
19507,GB Max Tablet 10'S,Supplement,improves immunity
19508,Gcstab Tablet 10'S,Supplement,improves stability
19509,GDM Safe Sachet 5gm,Supplement,improves resistance
19510,Gefer Capsule 10'S,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19511,Gefer XT Suspension 150ml,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19512,Gelyte Powder 21.8gm,Supplement, antioxidant and memory enhancement property
19513,Gemcal Suspension 120ml,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19514,Gemcal D3 Capsule 10'SGEMCAL D3 Tablet 15's,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19515,Gemcal Gro Syrup 200ml,Supplement,powerful antioxidant that strengthens and protects living tissue
19516,Gemcal Mom Tablet 30'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19517,Gemcal P Suspension 150ml,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19518,Gemcal Plus Capsule 10'S,Supplement,improves immunity
19519,GEMCAL XT Tablet 15's,Supplement,improves immunity
19520,Gemcalmom 740mg/400IU Tablet 10'S,Supplement,improves stability
19521,Gemful Capsule 15'SGemful Capsule 10'S,Supplement,improves resistance
19522,GEMIKING HD Tablet 15's,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19523,Gemitrol 500mg/0.25Mcg/7.5mg Capsule 10'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19524,Gemking Capsule 15'SGemking Capsule 10'S,Supplement, antioxidant and memory enhancement property
19525,Gemking D3 Suspension 150ml,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19526,Gemking HD Tablet 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19527,Gemshell Capsule 10'S,Supplement,powerful antioxidant that strengthens and protects living tissue
19528,Gemsoline Capsule 15'SGemsoline Capsule 10'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19529,Gemsoline D3 60K Capsule 4'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19530,GEMSUROS Capsule 10's,Supplement,improves immunity
19531,GEN D3 60 K Sachet 1gmGEN D3 1K Softgel 10'SGEN D3 600000IU Injection 1mlGEN D3 60K Capsule 4'S,Supplement,improves immunity
19532,Gencitrol Tablet 10'S,Supplement,improves stability
19533,Gencitrol K2 Tablet 10'S,Supplement,improves resistance
19534,Genew Plus Tablet 10'S,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19535,Genoplex Czs Tablet 10'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19536,Genoplex L Syrup 200mlGenoplex L Syrup 60ml,Supplement, antioxidant and memory enhancement property
19537,Genozyme Syrup 200mlGenozyme Capsule 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19538,GENUFLEX SUGAR FREE Sachet 10.5gm,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19539,Geofresh Capsule 10'S,Supplement,powerful antioxidant that strengthens and protects living tissue
19540,Geomax D3 Capsule 10'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19541,Geomax Plus Capsule 10'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19542,Gericare Tablet 30'S,Supplement,improves immunity
19543,Gerijoint Capsule 10'S,Supplement,improves immunity
19544,Gestacal Tablet 10'S,Supplement,improves stability
19545,Getwel Tablet 10's,Supplement,improves resistance
19546,Gexfer Tablet 10'SGexfer Suspension 150ml,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19547,Ginkoba Tablet 10'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19548,Ginkoba M Capsule 10'S,Supplement, antioxidant and memory enhancement property
19549,Ginkocer 120mg Capsule 10'SGinkocer Tablet 10'SGINKOCER 120mg Tablet 10's,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19550,Ginkocer M Capsule 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19551,Ginkocer Plus Tablet 10'S,Supplement,powerful antioxidant that strengthens and protects living tissue
19552,GINPROT DHA CHOCOLATE FLAVOUR Powder 200gm,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19553,Ginsoma Capsule 10'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19554,GLA 600mg Capsule 10'S,Supplement,improves immunity
19555,Glace Capsule 30'S,Supplement,improves immunity
19556,Glacex Capsule 10'S,Supplement,improves stability
19557,Gladis Tablet 30'S,Supplement,improves resistance
19558,Gladpro Vanilla Powder 200gm,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19559,Glasex Capsule 10'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19560,Glencal 652mg Suspension 150ml,Supplement, antioxidant and memory enhancement property
19561,Glencal O 200mg/0.25Mcg/7.5mg Capsule 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19562,Glenseng Syrup 180mlGlenseng 500mg Capsule 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19563,Globac XT Tablet 10'S,Supplement,powerful antioxidant that strengthens and protects living tissue
19564,Gloeye Tablet 10'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19565,Glomax Lip Gel 20gm,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19566,Glomax 500mg+Ascomax 1000mg Kit 3X10'S,Supplement,improves immunity
19567,Glotab Capsule 10'S,Supplement,improves immunity
19568,Glowcare Capsule 10's,Supplement,improves stability
19569,Glucal Tablet 10'S,Supplement,improves resistance
19570,Glucofree Aaloo Chat 40gm Bar 15'S,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19571,Glucofree Choconut 40gm Bar 15'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19572,Glucofree Panipuri 40gm Bar 15'S,Supplement, antioxidant and memory enhancement property
19573,Glucosam 250mg Tablet 10'SGlucosam 750mg Tablet 10'SGlucosam 500mg Tablet 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19574,Gludase 50mg Tablet 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19575,Glugen Powder 10.2Gm,Supplement,powerful antioxidant that strengthens and protects living tissue
19576,Gluspan D Tablet 10'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19577,Glutabest Powder 12Gm,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19578,Glutafly 600mg Injection 1'S,Supplement,improves immunity
19579,Glutahenz Infusion 50mlGlutahenz Sachet 15gm,Supplement,improves immunity
19580,Glutahenz DT 1000mg Tablet 10'S,Supplement,improves stability
19581,Glutanase Drops 15mlGlutanase Syrup 200mlGlutanase Tablet 10'S,Supplement,improves resistance
19582,Glutarich Powder 15gm,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19583,Glutaup Tablet 10'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19584,Glutazene Sachet 7X3X0.67Gm,Supplement, antioxidant and memory enhancement property
19585,Gluton 600mg Capsule 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19586,Glutone 1000Mg Effervescent Tablet 15's,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19587,Glutone C Effervescent Tablet 15'S,Supplement,powerful antioxidant that strengthens and protects living tissue
19588,Glycekrom 200mcg Tablet 10'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19589,Glyzifer Tablet 10'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19590,Glyzifer NM Syrup 150mlGlyzifer NM Tablet 10'S,Supplement,improves immunity
19591,Gmab Plus Capsule 10'S,Supplement,improves immunity
19592,GMM Tablet 10'S,Supplement,improves stability
19593,GOD Sent Capsule 10'S,Supplement,improves resistance
19594,Goecyst F Tablet 10'S,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19595,Goecyst Nac Tablet 15'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19596,Goecyst Plus Diskette 10'S,Supplement, antioxidant and memory enhancement property
19597,Goeuti Sugar Free Suspension 100mlGoeuti Capsule 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19598,Gofolate Tablet 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19599,Gofolate Plus Tablet 10'S,Supplement,powerful antioxidant that strengthens and protects living tissue
19600,Goldcal HD Tablet 15'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19601,Goldcal Max Capsule 10's,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19602,Goldcare Tablet 60'SGoldcare Tablet 6'SGoldcare Tablet 30'S,Supplement,improves immunity
19603,Goldcare 50 Plus Tablet 6'S,Supplement,improves immunity
19604,Goldiron Syrup 200mlGoldiron Tablet 10'S,Supplement,improves stability
19605,Gopo Sachet 2.25gm,Supplement,improves resistance
19606,Grapex Tablet 10'S,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19607,Grapez Capsule 10'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19608,Gratrol Tablet 10'S,Supplement, antioxidant and memory enhancement property
19609,GRD Chocolate Flavour Powder 200gmGRD Powder 100gmGRD Chocolate Flavour Powder(Refill) 200gm,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19610,Grd Bix CARDAMOM FLAVOUR Diskettes 250gmGrd Bix NEW VANILLA FLAVOUR Diskette 250gmGRD Bix Biscuit 250gmGRD Bix Cardamom Flavour Powder 250gm,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19611,GRD Bix Lite Cardamom Flavour Diskette 250gm,Supplement,powerful antioxidant that strengthens and protects living tissue
19612,GRD Chocolate Powder(Refill) 400gm,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19613,GRD Lite Cardamom Flavour Diskette 250gm,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19614,GRD Mango Flavour Powder 200gm,Supplement,improves immunity
19615,GRD Smart Chocolate Flavour Powder 200gm,Supplement,improves immunity
19616,GRD Smart Swiss Chocolate Flavour Powder 200gm,Supplement,improves stability
19617,GRD Smart Vanilla Flavour Powder 200gm,Supplement,improves resistance
19618,GRD Sugarfree Vanilla Powder 30gm,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19619,GRD Sugarfree Vanilla Flavour Powder 200gm,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19620,GRD Swiss Chocolate Flavour Powder 200gm,Supplement, antioxidant and memory enhancement property
19621,GRD Vanilla Flavor Powder 400gm,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19622,GRD Vanilla Flavour Powder 200gm,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19623,Gretacal Tablet 15'S,Supplement,powerful antioxidant that strengthens and protects living tissue
19624,GRIP FIT Tablet 10's,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19625,GRO 9 Granules 5gm,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19626,Grochamp Drops 30ml,Supplement,improves immunity
19627,Gromin Syrup 200ml,Supplement,improves immunity
19628,Groviva Chocolate Powder 200 GmGroviva Chocolate Powder 400 Gm,Supplement,improves stability
19629,GROVIVA MANGO FLAVOUR Powder 200gm,Supplement,improves resistance
19630,GROVIVA STRAWBERRY FLAVOUR Powder 400gm,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19631,Groviva Vanilla Flavour Powder 400gm,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19632,Groviva Vanilla Flavour Powder 200 Gm,Supplement, antioxidant and memory enhancement property
19633,Grow UP Powder 400gmGrow UP Powder 200gm,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19634,Grow UP Chocolate Powder 200gm,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19635,Grow UP Vanilla Powder 200gm,Supplement,powerful antioxidant that strengthens and protects living tissue
19636,GUD 9 Tablet 15'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19637,Gutpro Syrup 30ml,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19638,GX 600 Injection 1'S,Supplement,improves immunity
19639,Gyargin M Sachet 10gmGyargin Sachet 8.5gmGyargin Plus Sachet 10gmGyargin Powder 5gm,Supplement,improves immunity
19640,Gyargin EF Tablet 2'S,Supplement,improves stability
19641,Gynacea Tablet 10'S,Supplement,improves resistance
19642,Gynejoy Capsule 30'S,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19643,H Vit Tablet 10'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19644,H Vit Forte Tablet 10'S,Supplement, antioxidant and memory enhancement property
19645,Haem UP Fast Tablet 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19646,Haemaccel Injection 500ml,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19647,Haemaday 100mg Injection 5mlHaemaday Tablet 10'SHaemaday Syrup 150ml,Supplement,powerful antioxidant that strengthens and protects living tissue
19648,Haes Steril 3% Infusion 500mlHaes Steril 10% Infusion 500mlHaes Steril 6% Infusion 500ml,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19649,Hairbless Tablet 10'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19650,Hairboost Tablet 10'S,Supplement,improves immunity
19651,Hairgro Tablet 10'SHairgro Gel 50gm,Supplement,improves immunity
19652,Hairgro Plus Gel 50gm,Supplement,improves stability
19653,Hairootz Eva Capsule 15'S,Supplement,improves resistance
19654,Hairootz Soflet 15'S,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19655,Hairvita Plus Tablet 10'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19656,Halcomb 1500mcg Tablet 10'S,Supplement, antioxidant and memory enhancement property
19657,Harty Capsule 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19658,Harty D Capsule 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19659,Harty D Light Capsule 10'S,Supplement,powerful antioxidant that strengthens and protects living tissue
19660,Harty Plus Capsule 10'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19661,Harvest Capsule 15'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19662,Harvest PS Tablet 10'S,Supplement,improves immunity
19663,Hasurge Tablet 10'S,Supplement,improves immunity
19664,Havglo Cream 30gmHavglo Injection 1'SHavglo Tablet 10'S,Supplement,improves stability
19665,HB 29 Tablet 10'S,Supplement,improves resistance
19666,HB 29 X Tablet 10's,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19667,HB 4 Suspension 150ml,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19668,HB Fast Tablet 10'S,Supplement, antioxidant and memory enhancement property
19669,HB Fast Z Tablet 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19670,HB Plus Capsule 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19671,HB Red Syrup 200ml,Supplement,powerful antioxidant that strengthens and protects living tissue
19672,HB Rich 300 Tablet 18'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19673,HB UP Capsule 15'SHB UP Syrup 200ml,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19674,HB Z Capsule 10'SHB Z Suspension 200ml,Supplement,improves immunity
19675,Hd 3 Capsule 4's,Supplement,improves immunity
19676,Hdlip 1000mg Tablet 10'S,Supplement,improves stability
19677,Healrich Capsule 10'S,Supplement,improves resistance
19678,Health OK New Drops 15mlHealth OK Sachet 5gmHealth OK Tablet 15'SHealth OK Syrup 200ml,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19679,Healthyvit Capsule 10'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19680,Healvit Tablet 10'S,Supplement, antioxidant and memory enhancement property
19681,Healvit AX Tablet 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19682,Healvit M Syrup 200ml,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19683,Heamwar Xt Drops 15ml,Supplement,powerful antioxidant that strengthens and protects living tissue
19684,Heldicur Capsule 30'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19685,Hematrine Capsule 30'S,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19686,Hemfer A Syrup 200ml,Supplement,improves immunity
19687,Hemfer Kid Syrup 60ml,Supplement,improves immunity
19688,Hemfer Soft Gelatin Capsule 30'S,Supplement,improves stability
19689,Hemgen Tablet 10'SHemgen Syrup 200ml,Supplement,improves resistance
19690,Hemglobin Capsule 30'sHemglobin Syrup 300ml,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
19691,Hemobest Tablet 10'S,Supplement,"lowers the triglyceride level; Triglycerides are another form of fat, present in blood which promotes heart disease"
19692,HEMONEXT Tablet 10's,Supplement, antioxidant and memory enhancement property
19693,Hemsyl Cvp Tablet 10'S,Supplement,promotes carbohydrate metabolism and allowing skeletal muscle to oxidize free fatty acids for energy production
19694,Henzovit Capsule 10'S,Supplement,"promotes memory and learning, and nutritionally supports immune function and cardiovascular health"
19695,Hepaeuro Granules 5gm,Supplement,powerful antioxidant that strengthens and protects living tissue
19696,Hepafresh 600mg Injection 1'S,Supplement,"protects your cells from oxidation, and neutralizes unstable free radicals, which can cause damage"
19697,HEPANICHE Sachet 12gm,Supplement,s indicated as vitamin and micronutrient supplementation in the management of chronic disease
19698,Hepmend Sachet 5gmHepmend 500mg Injection 10ml,Supplement,improves immunity
19699,Hepnovit Syrup 210ml,Supplement,improves immunity
19700,HEPSURE ORANGE FLAVOUR Powder 10gm,Supplement,improves stability
19701,Heptagon Tablet 10'S,Supplement,improves resistance
19702,Heptagon New Tablet 10's,Supplement,"with cytoprotective effects, to help in the healing of wounds from sunburns and thus maintain the integrity of skin"
